code,name,sector
8804.T,東京建物,不動産業
8830.T,住友不動産,不動産業
9001.T,東武鉄道,陸運業
9005.T,東急,陸運業
9007.T,小田急電鉄,陸運業
9008.T,京王電鉄,陸運業
9009.T,京成電鉄,陸運業
9020.T,JR東日本,陸運業
9021.T,JR西日本,陸運業
9022.T,JR東海,陸運業
9064.T,ヤマトHD,陸運業
9101.T,日本郵船,海運業
9104.T,商船三井,海運業
9107.T,川崎汽船,海運業
9147.T,NXHD,陸運業
9201.T,JAL,空運業
9202.T,ANA HD,空運業
9432.T,NTT,情報・通信業
9433.T,KDDI,情報・通信業
9434.T,ソフトバンク,情報・通信業
9501.T,東京電力HD,電気・ガス業
9502.T,中部電力,電気・ガス業
9503.T,関西電力,電気・ガス業
9531.T,東京ガス,電気・ガス業
9532.T,大阪ガス,電気・ガス業
9602.T,東宝,情報・通信業
9735.T,セコム,サービス業
9766.T,コナミG,情報・通信業
9843.T,ニトリHD,小売業
9983.T,ファーストリテイリング,小売業
9984.T,ソフトバンクG,情報・通信業
